filename,sentence,phonetic,flag
aac1,Hi.,0BHXAI0E<c6>{HL-L%0},keep
aac1,Hi.,0BHXAI0E<c6>{HL-L%0},keep
aac62,How_are_you?,0BHXAU<c3>{HL-}AARX<a3>JYUW0E<c6>{L%3},keep
aac23,Great.,0BGGRREITT0E<c6>{HL-L%0},keep
aac4,Good_to_see_you.,0BGGUHDD<c4>{H}HTUW<a2>SSII<c3>{HL-}JYUW0E<a6>{L%0},keep
aac33,What_have_you_been_doing?,0BWWAHTT<c3>{H}HXAEVV<a3>JYUW<c3>BBIHNN<a3>DDUW<c1>{HL-}IXNX0E<a6>{L%3},keep
aac34,Tell_me_about_your_family.,0BHTEHLX<c3>{H}MMII<a4>AX<a1>BBAUTT<c3>JYOR<a3>FFAEMM<c1>{HL-}LLII0E<a6>{L%0},keep
aac2,Hello.,0BHXAX<a1>LLOU0E<c6>{HL-L%0},keep
aac3,Good_morning.,0BGGUHDD<c3>{H}MMOR<c1>{HL-}NNIXNX0E<a6>{L%0},keep
aac6,How_are_you_today?,0BHXAU<c3>{H}AARX<a3>JYUW<c3>HTAX<a1>DDEI0E<c6>{HL-L%3},keep
aac11,Not_very_good_today.,0BNNAATT<c3>{H}VVEHRX<c1>{H}II<a3>GGUHDD<c3>HTAX<a1>DDEI0E<c6>{HL-L%0},keep
aac19,I_am_sorry_to_hear_that.,0BTQAI<c3>{H}AEMM<a3>SSAARX<c1>{H}II<a4>HTUW<a2>HXIHRX<c3>{H}DHAETT0E<c6>{HL-L%0},keep
aac31,What_about_you?,0BWWAHTT<c3>{HL-}AX<a1>BBAUTT<c3>JYUW0E<a6>{L%3},keep
aac8,I'm_ok.,0BTQAIMM<c3>{H}OU<a1>HKEI0E<c6>{HL-L%0},keep
aac24,That's_good.,0BDHAETTSS<c3>{H}GGUHDD0E<c6>{HL-L%0},keep
aac5,What's_new?,0BWWAHTTSS<c3>{H}NNUW0E<c6>{HL-L%3},keep
